# val_loss,val_rse,val_corr,loss,rse,corr
4.842367497018307959e-02,7.318030437174785074e-01,3.574925196358403889e-01,2.278572404145324248e-01,3.232631555936134937e+00,5.377462716371100848e-01
4.382876643593901222e-02,7.889821415977587016e-01,3.750875527425555633e-01,4.711762697234889857e-02,7.165732643527208401e-01,6.752366280033640367e-01
3.228048440895026072e-02,6.450496245180930011e-01,3.945443233280563899e-01,3.040804915961433513e-02,4.827258339514945984e-01,8.052317667305780580e-01
2.447220573843975067e-02,5.249542454963760374e-01,3.941578195671496254e-01,2.587438439047187386e-02,4.143452837643707976e-01,8.651340345272306998e-01
2.265793098688381399e-02,4.841025458896620615e-01,3.984541754013137815e-01,2.199479583476022376e-02,3.613405303176923655e-01,8.956816936061330336e-01
