# val_loss,val_rse,val_corr,loss,rse,corr
7.311416712612212043e-02,1.256083590448840770e+00,4.799414341882916046e-01,1.987239952831372780e-01,2.671064996371304012e+00,3.019963589587226771e-01
4.679362442296462060e-02,7.421863844807397026e-01,5.790592289619008737e-01,4.556648484873075666e-02,6.810169665607098688e-01,5.756259476678587950e-01
3.767770176516240660e-02,6.227708955179468431e-01,6.356424897354900905e-01,2.620865867450848999e-02,4.062231702650426213e-01,7.711038974825606962e-01
2.722852128439280303e-02,5.149666467449696139e-01,6.352719528139575411e-01,2.093728628238746697e-02,3.274053902956691187e-01,8.701307685332949626e-01
2.774913591174182209e-02,4.303507931924855368e-01,6.253959264536954610e-01,1.714498649047332263e-02,2.722150805688873798e-01,9.139313717082344635e-01
